iter	Passed	Remaining
554	866	694
555	867	692
556	869	691
557	871	690
558	873	689
559	875	687
560	876	685
561	878	684
562	879	683
563	881	681
564	883	679
565	884	678
566	886	676
567	888	675
568	889	673
569	890	672
570	892	670
571	894	669
572	896	667
573	897	666
574	898	664
575	901	663
576	902	661
577	904	660
578	905	658
579	907	656
580	908	655
581	910	653
582	911	652
583	913	650
584	914	649
585	916	647
586	918	646
587	920	644
588	922	643
589	923	641
590	925	640
591	927	638
592	928	637
593	930	635
594	931	634
595	933	632
596	934	630
597	936	629
598	937	627
599	939	626
600	941	624
601	942	623
602	944	621
603	945	620
604	947	618
605	949	617
606	950	615
607	952	614
608	954	612
609	956	611
610	957	609
611	959	608
612	961	606
613	962	605
614	964	603
615	966	602
616	968	600
617	969	599
618	971	597
619	972	596
620	974	594
621	975	593
622	977	591
623	979	590
624	980	588
625	982	586
626	984	585
627	985	584
628	987	582
629	989	580
630	990	579
631	992	577
632	993	576
633	995	574
634	997	573
635	998	571
636	1000	569
637	1001	568
638	1003	566
639	1004	565
640	1006	563
641	1007	562
642	1009	560
643	1011	559
644	1012	557
645	1014	555
646	1016	554
647	1017	552
648	1019	551
649	1021	550
650	1023	548
651	1024	547
652	1026	545
653	1028	543
654	1029	542
655	1031	540
656	1032	539
657	1034	537
658	1035	536
659	1037	534
660	1039	532
661	1040	531
662	1042	529
663	1044	528
664	1045	526
665	1047	525
666	1048	523
667	1050	522
668	1052	520
669	1054	519
670	1055	517
671	1057	516
672	1058	514
673	1060	512
674	1062	511
675	1063	509
676	1064	508
677	1066	506
678	1068	504
679	1069	503
680	1071	501
681	1072	500
682	1074	498
683	1076	497
684	1077	495
685	1079	494
686	1080	492
687	1082	490
688	1083	489
689	1085	487
690	1086	486
691	1088	484
692	1089	482
693	1091	481
694	1093	479
695	1095	478
696	1096	476
697	1097	475
698	1099	473
699	1101	471
700	1102	470
701	1104	468
702	1106	467
703	1107	465
704	1109	464
705	1111	462
706	1112	461
707	1114	459
708	1116	458
709	1117	456
710	1119	454
711	1120	453
712	1122	451
713	1124	450
714	1125	448
715	1127	447
716	1129	445
717	1130	444
718	1132	442
719	1133	440
720	1135	439
721	1136	437
722	1138	436
723	1139	434
724	1141	432
725	1143	431
726	1144	429
727	1146	428
728	1147	426
729	1149	425
730	1150	423
731	1152	421
732	1153	420
733	1155	418
734	1157	417
735	1158	415
736	1160	414
737	1162	412
738	1163	410
739	1165	409
740	1166	407
741	1168	406
742	1169	404
743	1171	402
744	1172	401
745	1174	399
746	1175	398
747	1177	396
748	1179	395
749	1180	393
750	1182	392
751	1184	390
752	1185	388
753	1187	387
754	1188	385
755	1190	384
756	1191	382
757	1193	381
758	1195	379
759	1196	377
760	1198	376
761	1199	374
762	1201	373
763	1202	371
764	1204	369
765	1205	368
766	1207	366
767	1209	365
768	1210	363
769	1212	362
770	1213	360
771	1215	359
772	1217	357
773	1218	355
774	1220	354
775	1221	352
776	1223	351
777	1225	349
778	1226	347
779	1228	346
780	1229	344
781	1231	343
782	1232	341
783	1235	340
784	1236	338
785	1238	337
786	1239	335
787	1241	333
788	1242	332
789	1243	330
790	1245	329
791	1246	327
792	1248	325
793	1250	324
794	1251	322
795	1253	321
796	1255	319
797	1256	318
798	1258	316
799	1259	314
800	1261	313
801	1263	311
802	1264	310
803	1266	308
804	1268	307
805	1270	305
806	1271	304
807	1273	302
808	1274	300
809	1276	299
810	1278	297
811	1279	296
812	1281	294
813	1282	293
814	1284	291
815	1286	289
816	1287	288
817	1289	286
818	1290	285
819	1292	283
820	1294	282
821	1295	280
822	1297	279
823	1298	277
824	1300	275
825	1301	274
826	1303	272
827	1305	271
828	1306	269
829	1308	267
830	1309	266
831	1311	264
832	1313	263
833	1315	261
834	1316	260
835	1318	258
836	1319	257
837	1321	255
838	1322	253
839	1325	252
840	1326	250
841	1328	249
842	1329	247
843	1331	246
844	1332	244
845	1334	242
846	1336	241
847	1338	239
848	1339	238
849	1341	236
850	1342	235
851	1344	233
852	1345	231
853	1347	230
854	1348	228
855	1350	227
856	1351	225
857	1353	223
858	1355	222
859	1357	220
860	1358	219
861	1360	217
862	1361	216
863	1362	214
864	1364	213
865	1366	211
866	1367	209
867	1369	208
868	1370	206
869	1372	205
870	1373	203
871	1375	201
872	1376	200
873	1378	198
874	1380	197
875	1382	195
876	1383	194
877	1385	192
878	1387	190
879	1388	189
880	1389	187
881	1390	186
882	1392	184
883	1394	182
884	1395	181
885	1397	179
886	1398	178
887	1400	176
888	1401	175
889	1403	173
890	1404	171
891	1406	170
892	1407	168
893	1409	167
894	1411	165
895	1412	164
896	1414	162
897	1416	160
898	1417	159
899	1419	157
900	1421	156
901	1422	154
902	1424	152
903	1426	151
904	1427	149
905	1429	148
906	1430	146
907	1432	145
908	1433	143
909	1435	141
910	1436	140
911	1438	138
912	1439	137
913	1441	135
914	1443	134
915	1444	132
916	1446	130
917	1447	129
918	1449	127
919	1451	126
920	1452	124
921	1454	123
922	1455	121
923	1457	119
924	1458	118
925	1460	116
926	1462	115
927	1464	113
928	1465	112
929	1467	110
930	1468	108
931	1470	107
932	1472	105
933	1473	104
934	1475	102
935	1476	100
936	1478	99
937	1479	97
938	1481	96
939	1483	94
940	1485	93
941	1487	91
942	1488	89
943	1490	88
944	1491	86
945	1493	85
946	1494	83
947	1496	82
948	1497	80
949	1499	78
950	1501	77
951	1502	75
952	1504	74
953	1505	72
954	1507	71
955	1508	69
956	1510	67
957	1511	66
958	1513	64
959	1514	63
960	1516	61
961	1517	59
962	1519	58
963	1520	56
964	1522	55
965	1523	53
966	1525	52
967	1526	50
968	1527	48
969	1529	47
970	1531	45
971	1532	44
972	1534	42
973	1535	40
974	1537	39
975	1538	37
976	1540	36
977	1541	34
978	1543	33
979	1544	31
980	1546	29
981	1547	28
982	1549	26
983	1551	25
984	1552	23
985	1554	22
986	1555	20
987	1557	18
988	1558	17
989	1560	15
990	1562	14
991	1563	12
992	1565	11
993	1566	9
994	1568	7
995	1570	6
996	1571	4
997	1572	3
998	1574	1
999	1576	0
