iter	RMSE
0	20.09049559
1	19.85830579
2	19.65720364
3	19.44801704
4	19.2554513
5	19.08227061
6	18.93551932
7	18.80773867
8	18.67727189
9	18.575167
10	18.48172534
11	18.38091389
12	18.30237743
13	18.22052822
14	18.16538774
15	18.09986257
16	18.03867831
17	17.98262714
18	17.93606406
19	17.88597663
20	17.84089386
21	17.80233253
22	17.77245592
23	17.73325439
24	17.69024473
25	17.66340686
26	17.63798002
27	17.60901971
28	17.58188015
29	17.56020444
30	17.5324841
31	17.51183536
32	17.49009161
33	17.47163612
34	17.45731682
35	17.43981949
36	17.42527211
37	17.40739515
38	17.38693503
39	17.37299996
40	17.35863597
41	17.34314375
42	17.33097174
43	17.31632019
44	17.30444956
45	17.28379977
46	17.27697832
47	17.26775614
48	17.25439185
49	17.24358209
50	17.23297087
51	17.22148835
52	17.21357001
53	17.19879719
54	17.18916565
55	17.1808708
56	17.17587534
57	17.16793565
58	17.15560856
59	17.14266126
60	17.13133634
61	17.12409095
62	17.11654689
63	17.11021508
64	17.10129285
65	17.09316089
66	17.09277545
67	17.09131827
68	17.08505471
69	17.07770111
70	17.07108391
71	17.06334456
72	17.05765636
73	17.05431895
74	17.04963882
75	17.04278595
76	17.03524197
77	17.02890664
78	17.02422246
79	17.01843549
80	17.0091554
81	17.00604484
82	16.99735343
83	16.99348702
84	16.9865321
85	16.97756339
86	16.97342522
87	16.9678613
88	16.96058583
89	16.95789763
90	16.95337549
91	16.94296153
92	16.93136092
93	16.92947679
94	16.91717338
95	16.91205281
96	16.90469245
97	16.8996245
98	16.89692278
99	16.89454745
100	16.88951347
101	16.88348574
102	16.87719721
103	16.8721645
104	16.86991603
105	16.86736757
106	16.86226109
107	16.857501
108	16.85358172
109	16.85037456
110	16.84533386
111	16.84126257
112	16.84046972
113	16.8370289
114	16.8343815
115	16.83113313
116	16.82597122
117	16.8226604
118	16.82087092
119	16.81867279
120	16.81390921
121	16.81052529
122	16.8069506
123	16.80486815
124	16.80257968
125	16.79955474
126	16.79247148
127	16.78753031
128	16.78179614
129	16.77842007
130	16.77551138
131	16.77358264
132	16.76755567
133	16.76352465
134	16.760542
135	16.75770099
136	16.7544891
137	16.75110421
138	16.74695788
139	16.74435302
140	16.74124834
141	16.73792974
142	16.73168788
143	16.72768093
144	16.72319475
145	16.71849617
146	16.71306159
147	16.71184251
148	16.70841542
149	16.70428581
150	16.70054542
151	16.69596669
152	16.69032329
153	16.68513699
154	16.67976874
155	16.67553526
156	16.67238237
157	16.67017033
158	16.66465196
159	16.66194993
160	16.6581131
161	16.65037032
162	16.64749133
163	16.64399601
164	16.64010504
165	16.63346081
166	16.63032167
167	16.62776106
168	16.62415656
169	16.62095239
170	16.61805905
171	16.61557807
172	16.61322192
173	16.61000299
174	16.60576206
175	16.60028715
176	16.59573039
177	16.59296014
178	16.5892295
179	16.5852935
180	16.58122146
181	16.57686863
182	16.57340989
183	16.57107913
184	16.56816922
185	16.56400639
186	16.56043056
187	16.55702505
188	16.55224143
189	16.5499024
190	16.54838218
191	16.54395114
192	16.53943854
193	16.53406717
194	16.52892767
195	16.52478895
196	16.52094652
197	16.51737216
198	16.51389189
199	16.50988146
200	16.50597799
201	16.50193555
202	16.49986059
203	16.49507525
204	16.49064853
205	16.48767248
206	16.48534074
207	16.48102032
208	16.47735806
209	16.47586734
210	16.46929314
211	16.46516886
212	16.46150034
213	16.45928924
214	16.45566422
215	16.45304683
216	16.45023028
217	16.44837675
218	16.44679984
219	16.44358915
220	16.44019305
221	16.43779842
222	16.43638754
223	16.43154958
224	16.42622481
225	16.42244529
226	16.41755348
227	16.4135294
228	16.41150298
229	16.40783452
230	16.4041604
231	16.39979731
232	16.3966185
233	16.3945049
234	16.39259615
235	16.39009619
236	16.38904981
237	16.38496685
238	16.38243948
239	16.37984813
240	16.37701484
241	16.3757006
242	16.37254358
243	16.36872461
244	16.36584889
245	16.36319655
246	16.36065858
247	16.35797885
248	16.35543837
249	16.35342583
250	16.35015011
251	16.34766468
252	16.34580441
253	16.34350836
254	16.34090693
255	16.33852657
256	16.3352812
257	16.33353394
258	16.3302732
259	16.32775763
260	16.32562466
261	16.32106255
262	16.31931457
263	16.31638989
264	16.31314062
265	16.31130848
266	16.30809414
267	16.30635407
268	16.30344998
269	16.30070483
270	16.29765343
271	16.29329692
272	16.29113842
273	16.28786644
274	16.28482028
275	16.28172768
276	16.27902642
277	16.27563939
278	16.27344808
279	16.2691915
280	16.26525457
281	16.26323845
282	16.26145
283	16.25897037
284	16.25635125
285	16.25358218
286	16.25057566
287	16.24822275
288	16.24476088
289	16.24266249
290	16.24057204
291	16.23771143
292	16.23431075
293	16.23298154
294	16.2304008
295	16.22831269
296	16.22638041
297	16.22421911
298	16.22030181
299	16.21691027
300	16.21532356
301	16.21331364
302	16.21095553
303	16.20931502
304	16.20731056
305	16.20539184
306	16.20306328
307	16.2010131
308	16.1977417
309	16.19528485
310	16.19268968
311	16.19087477
312	16.18801305
313	16.18645866
314	16.18366717
315	16.18035181
316	16.17781875
317	16.17608123
318	16.17361462
319	16.17145983
320	16.16999032
321	16.1677336
322	16.1657409
323	16.16399059
324	16.16279654
325	16.16127077
326	16.15893764
327	16.15698312
328	16.15583163
329	16.15241244
330	16.15003514
331	16.14753808
332	16.14357671
333	16.14170182
334	16.13892863
335	16.13715614
336	16.1348899
337	16.13200081
338	16.12972084
339	16.12719088
340	16.12507789
341	16.12366254
342	16.12188648
343	16.12008622
344	16.11809366
345	16.11713597
346	16.11466113
347	16.11307564
348	16.11118924
349	16.10888255
350	16.10667875
351	16.10405571
352	16.10154854
353	16.09993498
354	16.09816443
355	16.09571362
356	16.0933863
357	16.09151904
358	16.08904121
359	16.08777101
360	16.08565262
361	16.08224147
362	16.07910193
363	16.07669879
364	16.07552651
365	16.0735018
366	16.07158703
367	16.07074021
368	16.06905231
369	16.06699638
370	16.06490741
371	16.0621096
372	16.05916388
373	16.0577753
374	16.05551374
375	16.05442848
376	16.05164569
377	16.04910787
378	16.04737259
379	16.04570003
380	16.04371732
381	16.04161337
382	16.04017209
383	16.03763873
384	16.03562392
385	16.03395576
386	16.03142392
387	16.03015532
388	16.0279723
389	16.02537417
390	16.0235387
391	16.02245928
392	16.01951268
393	16.01773226
394	16.0163325
395	16.01492399
396	16.013354
397	16.01202694
398	16.01100433
399	16.00952763
400	16.00707823
401	16.00496507
402	16.00393781
403	16.00237605
404	16.00068321
405	15.99815522
406	15.99493871
407	15.99310008
408	15.99053186
409	15.98904284
410	15.98722728
411	15.98609092
412	15.98428905
413	15.98294317
414	15.98173412
415	15.98110844
416	15.97887371
417	15.97576826
418	15.97443207
419	15.97243355
420	15.96990075
421	15.9677401
422	15.96677595
423	15.96553519
424	15.96420586
425	15.96228049
426	15.96135845
427	15.96005502
428	15.95761757
429	15.95450595
430	15.95312794
431	15.95075111
432	15.94820428
433	15.94696564
434	15.94587442
435	15.9439267
436	15.94175849
437	15.94007704
438	15.9387193
439	15.93677915
440	15.93464015
441	15.9329745
442	15.93110205
443	15.92914647
444	15.92603143
445	15.92271658
446	15.92172463
447	15.91922365
448	15.91697626
449	15.91455739
450	15.91204681
451	15.91031728
452	15.90737155
453	15.90588904
454	15.90436231
455	15.90258074
456	15.9018989
457	15.89906626
458	15.8967757
459	15.89514201
460	15.89398342
461	15.89166838
462	15.89052263
463	15.88908513
464	15.88687483
465	15.88545881
466	15.88364503
467	15.88195976
468	15.88069343
469	15.87903326
470	15.87826711
471	15.87606859
472	15.87527983
473	15.87309291
474	15.87131543
475	15.86985115
476	15.86778443
477	15.86521219
478	15.86384602
479	15.86220176
480	15.86082542
481	15.85896887
482	15.85649808
483	15.85436517
484	15.85242322
485	15.85092251
486	15.84881997
487	15.84584546
488	15.84363215
489	15.84140143
490	15.83916138
491	15.83742869
492	15.83558218
493	15.83358445
494	15.83127079
495	15.82926845
496	15.82778621
497	15.82607309
498	15.82394153
499	15.82199594
500	15.82021977
501	15.81960392
502	15.81729594
503	15.81459465
504	15.81303763
505	15.81104764
506	15.80882913
507	15.80624807
508	15.80450801
509	15.80353432
510	15.80145067
511	15.7996487
512	15.7978993
513	15.79664415
514	15.79536798
515	15.79300668
516	15.7915519
517	15.79036299
518	15.78831847
519	15.78644434
520	15.7857921
521	15.78462083
522	15.781908
523	15.78075949
524	15.7799241
525	15.77840975
526	15.77618058
527	15.77460281
528	15.77344444
529	15.77223229
530	15.76918464
531	15.76751448
532	15.76458747
533	15.76327341
534	15.76064361
535	15.7596871
536	15.75800903
537	15.75657955
538	15.75456147
539	15.75363798
540	15.7522798
541	15.75099188
542	15.75010817
543	15.74927492
544	15.7476474
545	15.74538135
546	15.74448765
547	15.74257726
548	15.74109472
549	15.73981435
550	15.73817612
551	15.73678567
552	15.73588627
553	15.73447945
554	15.73339507
555	15.73135004
556	15.7307118
557	15.72895454
558	15.72683323
559	15.72560191
560	15.72352731
561	15.72113951
562	15.71875924
563	15.71765028
564	15.71627
565	15.71362688
566	15.71302423
567	15.71075436
568	15.70960919
569	15.70780963
570	15.7056165
571	15.70300347
572	15.70102688
573	15.69954507
574	15.69866048
575	15.69676034
576	15.69456943
577	15.69323669
578	15.69225692
579	15.69113294
580	15.68944047
581	15.68756235
582	15.68664786
583	15.68590757
584	15.68500419
585	15.68330033
586	15.68161195
587	15.68054841
