,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost,week_number
117434,42c558afca2928af13d868d104e2dca5,4.0,2017-06-21T00:00:00,2017-06-22,59.88,104.0,25
117604,42c558afca2928af13d868d104e2dca5,2.0,2017-06-26T00:00:00,2017-06-26,60.02,119.6,26
117981,42c558afca2928af13d868d104e2dca5,2.0,2017-06-29T00:00:00,2017-06-29,60.02,104.0,26
82854,42c558afca2928af13d868d104e2dca5,6.0,2017-07-14T00:00:00,2017-07-14,60.4,130.0,28
83296,42c558afca2928af13d868d104e2dca5,1.0,2017-07-20T00:00:00,2017-07-20,60.54,104.0,29
172002,42c558afca2928af13d868d104e2dca5,6.0,2017-08-03T00:00:00,2017-08-03,60.56,104.0,31
172029,42c558afca2928af13d868d104e2dca5,1.0,2017-08-03T00:00:00,2017-08-03,60.56,104.0,31
172271,42c558afca2928af13d868d104e2dca5,8.0,2017-08-07T00:00:00,2017-08-07,60.74,122.2,32
172183,42c558afca2928af13d868d104e2dca5,10.0,2017-08-07T00:00:00,2017-08-07,60.74,122.2,32
172563,42c558afca2928af13d868d104e2dca5,10.0,2017-08-10T00:00:00,2017-08-10,61.07,130.0,32
150919,42c558afca2928af13d868d104e2dca5,4.0,2017-08-22T00:00:00,2017-08-22,60.95,119.6,34
151163,42c558afca2928af13d868d104e2dca5,8.0,2017-08-24T00:00:00,2017-08-24,60.9,124.8,34
151146,42c558afca2928af13d868d104e2dca5,3.0,2017-08-24T00:00:00,2017-08-24,60.9,104.0,34
104446,42c558afca2928af13d868d104e2dca5,1.0,2017-08-31T00:00:00,2017-08-31,60.72,104.0,35
104423,42c558afca2928af13d868d104e2dca5,10.0,2017-08-31T00:00:00,2017-08-31,58.36,122.2,35
104411,42c558afca2928af13d868d104e2dca5,10.0,2017-08-31T00:00:00,2017-08-31,60.72,122.2,35
104807,42c558afca2928af13d868d104e2dca5,8.0,2017-09-04T00:00:00,2017-09-04,60.6,122.2,36
95550,42c558afca2928af13d868d104e2dca5,2.0,2017-09-21T00:00:00,2017-09-21,60.6,104.0,38
57097,42c558afca2928af13d868d104e2dca5,6.0,2017-09-25T00:00:00,2017-09-25,60.6,122.2,39
57494,42c558afca2928af13d868d104e2dca5,3.0,2017-09-27T00:00:00,2017-09-27,60.6,119.6,39
57590,42c558afca2928af13d868d104e2dca5,3.0,2017-09-28T00:00:00,2017-09-28,60.6,104.0,39
57798,42c558afca2928af13d868d104e2dca5,8.0,2017-09-29T00:00:00,2017-09-29,55.33,122.2,39
58362,42c558afca2928af13d868d104e2dca5,3.0,2017-10-05T00:00:00,2017-10-05,58.49,104.0,40
10569,42c558afca2928af13d868d104e2dca5,8.0,2017-10-06T00:00:00,2017-10-06,58.46,124.8,40
11454,42c558afca2928af13d868d104e2dca5,6.0,2017-10-13T00:00:00,2017-10-16,58.22,130.0,42
11980,42c558afca2928af13d868d104e2dca5,4.0,2017-10-17T00:00:00,2017-10-17,58.12,119.6,42
254171,42c558afca2928af13d868d104e2dca5,10.0,2017-10-19T00:00:00,2017-10-19,58.06,124.8,42
254076,42c558afca2928af13d868d104e2dca5,2.0,2017-10-19T00:00:00,2017-10-19,58.06,104.0,42
255138,42c558afca2928af13d868d104e2dca5,2.0,2017-10-26T00:00:00,2017-10-26,57.95,104.0,43
200650,42c558afca2928af13d868d104e2dca5,16.0,2017-11-01T00:00:00,2017-11-01,57.95,124.8,44
200933,42c558afca2928af13d868d104e2dca5,4.0,2017-11-02T00:00:00,2017-11-02,57.95,104.0,44
201221,42c558afca2928af13d868d104e2dca5,3.0,2017-11-06T00:00:00,2017-11-06,57.95,119.6,45
36309,42c558afca2928af13d868d104e2dca5,1.0,2017-11-09T00:00:00,2017-11-09,57.95,104.0,45
36705,42c558afca2928af13d868d104e2dca5,5.0,2017-11-13T00:00:00,2017-11-13,56.95,122.2,46
36693,42c558afca2928af13d868d104e2dca5,10.0,2017-11-13T00:00:00,2017-11-13,57.95,122.2,46
37195,42c558afca2928af13d868d104e2dca5,2.0,2017-11-15T00:00:00,2017-11-15,57.95,119.6,46
33113,42c558afca2928af13d868d104e2dca5,8.0,2017-11-16T00:00:00,2017-11-16,57.95,124.8,46
30303,42c558afca2928af13d868d104e2dca5,8.0,2017-11-24T00:00:00,2017-11-24,57.0,124.8,47
31611,42c558afca2928af13d868d104e2dca5,6.0,2017-12-01T00:00:00,2017-12-01,61.14,124.8,48
37974,42c558afca2928af13d868d104e2dca5,4.0,2017-12-05T00:00:00,2017-12-05,61.27,119.6,49
214697,42c558afca2928af13d868d104e2dca5,4.0,2017-12-12T00:00:00,2017-12-12,61.36,124.8,50
214865,42c558afca2928af13d868d104e2dca5,5.0,2017-12-12T00:00:00,2017-12-13,61.36,122.2,50
215195,42c558afca2928af13d868d104e2dca5,5.0,2017-12-14T00:00:00,2017-12-14,61.6,130.0,50
215212,42c558afca2928af13d868d104e2dca5,1.0,2017-12-14T00:00:00,2017-12-14,61.6,104.0,50
242076,42c558afca2928af13d868d104e2dca5,8.0,2018-01-02T00:00:00,2018-01-02,61.77,124.8,1
132326,42c558afca2928af13d868d104e2dca5,1.0,2018-01-10T00:00:00,2018-01-10,62.03,130.0,2
132545,42c558afca2928af13d868d104e2dca5,8.0,2018-01-11T00:00:00,2018-01-11,62.06,122.2,2
132975,42c558afca2928af13d868d104e2dca5,6.0,2018-01-15T00:00:00,2018-01-15,62.37,124.8,3
133348,42c558afca2928af13d868d104e2dca5,3.0,2018-01-18T00:00:00,2018-01-18,62.62,104.0,3
133482,42c558afca2928af13d868d104e2dca5,4.0,2018-01-19T00:00:00,2018-01-19,62.76,119.6,3
133687,42c558afca2928af13d868d104e2dca5,6.0,2018-01-22T00:00:00,2018-01-22,62.96,124.8,4
191018,42c558afca2928af13d868d104e2dca5,3.0,2018-01-25T00:00:00,2018-01-25,63.3,104.0,4
192097,42c558afca2928af13d868d104e2dca5,6.0,2018-02-02T00:00:00,2018-02-02,63.48,124.8,5
192046,42c558afca2928af13d868d104e2dca5,6.0,2018-02-02T00:00:00,2018-02-02,63.48,122.2,5
80623,42c558afca2928af13d868d104e2dca5,1.0,2018-02-05T00:00:00,2018-02-05,64.37,130.0,6
81119,42c558afca2928af13d868d104e2dca5,1.0,2018-02-08T00:00:00,2018-02-08,59.93,104.0,6
81898,42c558afca2928af13d868d104e2dca5,10.0,2018-02-16T00:00:00,2018-02-16,61.97,124.8,7
115634,42c558afca2928af13d868d104e2dca5,3.0,2018-02-20T00:00:00,2018-02-20,61.82,119.6,8
115697,42c558afca2928af13d868d104e2dca5,12.0,2018-02-20T00:00:00,2018-02-21,61.82,122.2,8
116044,42c558afca2928af13d868d104e2dca5,1.0,2018-02-23T00:00:00,2018-02-23,61.47,130.0,8
116274,42c558afca2928af13d868d104e2dca5,5.0,2018-02-26T00:00:00,2018-02-26,61.44,130.0,9
155111,42c558afca2928af13d868d104e2dca5,6.0,2018-03-08T00:00:00,2018-03-08,61.3,124.8,10
155898,42c558afca2928af13d868d104e2dca5,10.0,2018-03-13T00:00:00,2018-03-13,61.12,124.8,11
168628,42c558afca2928af13d868d104e2dca5,1.0,2018-03-15T00:00:00,2018-03-15,60.76,104.0,11
168659,42c558afca2928af13d868d104e2dca5,2.0,2018-03-15T00:00:00,2018-03-15,60.76,122.2,11
168756,42c558afca2928af13d868d104e2dca5,7.0,2018-03-16T00:00:00,2018-03-16,60.63,124.8,11
169179,42c558afca2928af13d868d104e2dca5,2.0,2018-03-20T00:00:00,2018-03-20,60.32,119.6,12
169392,42c558afca2928af13d868d104e2dca5,1.0,2018-03-21T00:00:00,2018-03-21,60.22,114.4,12
84770,42c558afca2928af13d868d104e2dca5,8.0,2018-04-10T00:00:00,2018-04-10,61.4,124.8,15
84897,42c558afca2928af13d868d104e2dca5,2.0,2018-04-11T00:00:00,2018-04-11,61.23,119.6,15
114136,42c558afca2928af13d868d104e2dca5,10.0,2018-04-12T00:00:00,2018-04-12,61.18,122.2,15
114091,42c558afca2928af13d868d104e2dca5,1.0,2018-04-12T00:00:00,2018-04-12,61.18,104.0,15
114381,42c558afca2928af13d868d104e2dca5,15.0,2018-04-16T00:00:00,2018-04-16,61.22,124.8,16
129519,42c558afca2928af13d868d104e2dca5,2.0,2018-04-26T00:00:00,2018-04-26,61.45,104.0,17
129626,42c558afca2928af13d868d104e2dca5,6.0,2018-04-27T00:00:00,2018-04-27,61.48,124.8,17
129944,42c558afca2928af13d868d104e2dca5,2.0,2018-05-02T00:00:00,2018-05-02,61.59,119.6,18
130615,42c558afca2928af13d868d104e2dca5,10.0,2018-05-08T00:00:00,2018-05-08,61.63,122.2,19
130696,42c558afca2928af13d868d104e2dca5,1.0,2018-05-09T00:00:00,2018-05-09,61.86,104.0,19
193692,42c558afca2928af13d868d104e2dca5,6.0,2018-05-11T00:00:00,2018-05-11,61.89,140.0,19
194120,42c558afca2928af13d868d104e2dca5,2.0,2018-05-15T00:00:00,2018-05-15,62.05,140.0,20
213304,42c558afca2928af13d868d104e2dca5,7.0,2018-05-24T00:00:00,2018-05-24,62.11,134.4,21
213646,42c558afca2928af13d868d104e2dca5,3.0,2018-05-29T00:00:00,2018-05-29,62.33,128.8,22
213957,42c558afca2928af13d868d104e2dca5,6.0,2018-06-01T00:00:00,2018-06-01,62.51,134.4,22
214112,42c558afca2928af13d868d104e2dca5,10.0,2018-06-04T00:00:00,2018-06-04,62.67,131.6,23
214199,42c558afca2928af13d868d104e2dca5,3.0,2018-06-05T00:00:00,2018-06-05,62.78,131.6,23
214372,42c558afca2928af13d868d104e2dca5,1.0,2018-06-07T00:00:00,2018-06-07,62.79,112.0,23
214332,42c558afca2928af13d868d104e2dca5,1.0,2018-06-07T00:00:00,2018-06-07,62.79,112.0,23
214482,42c558afca2928af13d868d104e2dca5,6.0,2018-06-08T00:00:00,2018-06-08,62.79,134.4,23
243390,42c558afca2928af13d868d104e2dca5,2.0,2018-06-14T00:00:00,2018-06-14,62.79,112.0,24
31712,42c558afca2928af13d868d104e2dca5,3.0,2018-06-26T00:00:00,2018-06-26,62.79,128.8,26
31857,42c558afca2928af13d868d104e2dca5,1.0,2018-06-28T00:00:00,2018-06-28,62.78,112.0,26
32421,42c558afca2928af13d868d104e2dca5,2.0,2018-07-05T00:00:00,2018-07-05,62.78,112.0,27
34666,42c558afca2928af13d868d104e2dca5,5.0,2018-07-16T00:00:00,2018-07-16,62.78,140.0,29
35145,42c558afca2928af13d868d104e2dca5,1.0,2018-07-26T00:00:00,2018-07-26,62.77,112.0,30
35297,42c558afca2928af13d868d104e2dca5,2.0,2018-07-30T00:00:00,2018-07-30,62.77,128.8,31
35482,42c558afca2928af13d868d104e2dca5,6.0,2018-08-01T00:00:00,2018-08-01,62.77,134.4,31
202215,42c558afca2928af13d868d104e2dca5,8.0,2018-08-16T00:00:00,2018-08-16,62.76,131.6,33
202921,42c558afca2928af13d868d104e2dca5,1.0,2018-08-23T00:00:00,2018-08-23,62.74,112.0,34
256242,42c558afca2928af13d868d104e2dca5,2.0,2018-09-03T00:00:00,2018-09-03,62.74,134.4,36
256593,42c558afca2928af13d868d104e2dca5,5.0,2018-09-04T00:00:00,2018-09-04,62.74,131.6,36
256532,42c558afca2928af13d868d104e2dca5,1.0,2018-09-04T00:00:00,2018-09-04,62.74,112.0,36
256739,42c558afca2928af13d868d104e2dca5,2.0,2018-09-05T00:00:00,2018-09-05,62.72,128.8,36
21197,42c558afca2928af13d868d104e2dca5,8.0,2018-09-07T00:00:00,2018-09-07,62.72,134.4,36
21286,42c558afca2928af13d868d104e2dca5,1.0,2018-09-07T00:00:00,2018-09-07,62.72,134.4,36
21868,42c558afca2928af13d868d104e2dca5,8.0,2018-09-12T00:00:00,2018-09-12,60.94,134.4,37
47567,42c558afca2928af13d868d104e2dca5,1.0,2018-09-27T00:00:00,2018-09-27,65.75,112.0,39
47794,42c558afca2928af13d868d104e2dca5,12.0,2018-10-01T00:00:00,2018-10-01,65.79,131.6,40
47872,42c558afca2928af13d868d104e2dca5,2.0,2018-10-01T00:00:00,2018-10-01,65.79,140.0,40
48074,42c558afca2928af13d868d104e2dca5,3.0,2018-10-02T00:00:00,2018-10-02,66.39,128.8,40
222174,42c558afca2928af13d868d104e2dca5,2.0,2018-10-04T00:00:00,2018-10-04,66.56,112.0,40
222170,42c558afca2928af13d868d104e2dca5,2.0,2018-10-04T00:00:00,2018-10-04,66.56,112.0,40
223115,42c558afca2928af13d868d104e2dca5,1.0,2018-10-11T00:00:00,2018-10-11,62.53,112.0,41
232664,42c558afca2928af13d868d104e2dca5,1.0,2018-10-18T00:00:00,2018-10-18,62.29,112.0,42
232690,42c558afca2928af13d868d104e2dca5,1.0,2018-10-18T00:00:00,2018-10-18,62.29,112.0,42
140529,42c558afca2928af13d868d104e2dca5,8.0,2018-10-31T00:00:00,2018-10-31,65.93,134.4,44
181542,42c558afca2928af13d868d104e2dca5,10.0,2018-11-06T00:00:00,2018-11-06,66.14,131.6,45
72949,42c558afca2928af13d868d104e2dca5,2.0,2018-11-15T00:00:00,2018-11-15,66.01,128.8,46
74003,42c558afca2928af13d868d104e2dca5,1.0,2018-11-20T00:00:00,2018-11-21,65.98,140.0,47
124002,42c558afca2928af13d868d104e2dca5,10.0,2018-11-22T00:00:00,2018-11-22,65.97,112.0,47
124866,42c558afca2928af13d868d104e2dca5,3.0,2018-11-27T00:00:00,2018-11-27,65.8,70.0,48
124902,42c558afca2928af13d868d104e2dca5,1.0,2018-11-27T00:00:00,2018-11-27,65.8,140.0,48
158987,42c558afca2928af13d868d104e2dca5,1.0,2018-11-30T00:00:00,2018-11-30,65.73,140.0,48
159198,42c558afca2928af13d868d104e2dca5,8.0,2018-12-03T00:00:00,2018-12-03,65.73,131.6,49
159791,42c558afca2928af13d868d104e2dca5,6.0,2018-12-06T00:00:00,2018-12-06,65.54,134.4,49
162766,42c558afca2928af13d868d104e2dca5,8.0,2018-12-11T00:00:00,2018-12-11,65.4,134.4,50
163966,42c558afca2928af13d868d104e2dca5,1.0,2018-12-20T00:00:00,2018-12-20,65.16,131.6,51
188016,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-08T00:00:00,2015-01-08,116.38,340.0,2
189052,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-13T00:00:00,2015-01-13,116.38,340.0,3
79041,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-15T00:00:00,2015-01-15,116.38,340.0,3
79396,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-19T00:00:00,2015-01-20,116.38,340.0,4
78933,6dcb66034aed7493a93ef9b231ecaf14,18.0,2015-01-14T00:00:00,2015-01-20,116.38,312.8,4
79608,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-01-21T00:00:00,2015-01-21,116.38,340.0,4
79858,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-22T00:00:00,2015-01-22,116.38,340.0,4
79766,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-01-22T00:00:00,2015-01-22,116.38,319.6,4
80142,6dcb66034aed7493a93ef9b231ecaf14,5.0,2015-01-26T00:00:00,2015-01-26,116.38,374.0,5
80562,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-01-28T00:00:00,2015-01-29,116.38,351.56,5
119123,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-02-02T00:00:00,2015-02-03,129.12,374.0,6
119277,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-02-03T00:00:00,2015-02-04,131.95,374.0,6
118613,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-01-29T00:00:00,2015-02-04,116.38,359.04,6
119762,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-02-06T00:00:00,2015-02-09,136.71,374.0,7
119808,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-02-09T00:00:00,2015-02-10,0.0,41.55,7
40611,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-02-26T00:00:00,2015-02-26,0.0,374.0,9
41084,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-03-02T00:00:00,2015-03-03,108.84,351.56,10
41316,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-03-03T00:00:00,2015-03-04,108.84,374.0,10
41983,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-03-09T00:00:00,2015-03-09,108.84,374.0,11
215862,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-03-10T00:00:00,2015-03-10,108.84,336.6,11
217146,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-03-18T00:00:00,2015-03-18,118.94,359.04,12
238478,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-03-20T00:00:00,2015-03-20,119.13,299.2,12
238872,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-03-24T00:00:00,2015-03-24,119.34,374.0,13
239141,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-03-26T00:00:00,2015-03-26,119.55,359.04,13
239249,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-03-27T00:00:00,2015-03-27,119.99,374.0,13
239514,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-03-30T00:00:00,2015-03-30,13.01,39.8976,14
239627,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-03-30T00:00:00,2015-03-31,121.58,374.0,14
6240,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-04-01T00:00:00,2015-04-01,125.42,344.08,14
6562,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-04-07T00:00:00,2015-04-08,126.21,336.6,15
7095,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-04-13T00:00:00,2015-04-13,129.34,374.0,16
7240,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-04-14T00:00:00,2015-04-14,131.62,351.56,16
7348,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-04-14T00:00:00,2015-04-15,131.62,374.0,16
7535,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-04-15T00:00:00,2015-04-15,132.21,374.0,16
62572,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-04-20T00:00:00,2015-04-20,132.34,329.12,17
62820,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-04-21T00:00:00,2015-04-21,132.61,299.2,17
63805,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-04-29T00:00:00,2015-04-30,133.29,374.0,18
64024,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-05-04T00:00:00,2015-05-04,105.53,359.04,19
63930,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-04T00:00:00,2015-05-04,133.51,374.0,19
138303,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-05T00:00:00,2015-05-06,133.74,374.0,19
138436,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-05-06T00:00:00,2015-05-06,134.81,374.0,19
138814,6dcb66034aed7493a93ef9b231ecaf14,9.0,2015-05-08T00:00:00,2015-05-08,136.16,374.0,19
138931,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-05-11T00:00:00,2015-05-11,137.03,359.04,20
139653,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-05-18T00:00:00,2015-05-18,136.51,374.0,21
139566,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-15T00:00:00,2015-05-18,136.51,374.0,21
139678,6dcb66034aed7493a93ef9b231ecaf14,9.0,2015-05-18T00:00:00,2015-05-18,136.51,336.6,21
183054,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-19T00:00:00,2015-05-19,14.5,37.395,21
183173,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-05-19T00:00:00,2015-05-19,136.07,351.56,21
183222,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-05-19T00:00:00,2015-05-20,136.07,374.0,21
183311,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-20T00:00:00,2015-05-20,136.07,374.0,21
183775,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-05-25T00:00:00,2015-05-25,0.0,359.04,22
183820,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-05-25T00:00:00,2015-05-25,0.0,374.0,22
74604,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-06-02T00:00:00,2015-06-02,105.53,374.0,23
74929,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-06-03T00:00:00,2015-06-03,105.53,351.56,23
74878,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-06-03T00:00:00,2015-06-03,105.53,374.0,23
75011,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-06-04T00:00:00,2015-06-04,105.54,344.08,23
74870,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-06-03T00:00:00,2015-06-04,105.53,299.2,23
122742,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-06-16T00:00:00,2015-06-16,105.53,374.0,25
122765,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-06-17T00:00:00,2015-06-17,105.53,359.04,25
122703,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-06-16T00:00:00,2015-06-17,105.53,299.2,25
122817,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-06-17T00:00:00,2015-06-18,105.54,374.0,25
122886,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-06-22T00:00:00,2015-06-22,105.54,374.0,26
123174,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-06-23T00:00:00,2015-06-24,105.54,374.0,26
123574,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-06-29T00:00:00,2015-06-29,105.54,374.0,27
22796,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-07-06T00:00:00,2015-07-06,105.54,374.0,28
22798,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-07-06T00:00:00,2015-07-06,105.54,374.0,28
23059,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-07-09T00:00:00,2015-07-09,104.19,374.0,28
23149,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-07-13T00:00:00,2015-07-13,105.88,374.0,29
23430,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-07-15T00:00:00,2015-07-15,105.9,299.2,29
23507,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-07-16T00:00:00,2015-07-16,105.91,374.0,29
23520,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-07-17T00:00:00,2015-07-17,105.93,329.12,29
23692,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-07-20T00:00:00,2015-07-20,106.9,336.6,30
23927,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-07-22T00:00:00,2015-07-22,105.07,374.0,30
45264,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-07-28T00:00:00,2015-07-28,106.67,351.56,31
45380,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-07-29T00:00:00,2015-07-29,106.86,374.0,31
45897,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-08-03T00:00:00,2015-08-03,106.9,374.0,32
46006,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-08-04T00:00:00,2015-08-04,107.08,374.0,32
46160,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-08-05T00:00:00,2015-08-05,107.14,374.0,32
46693,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-08-11T00:00:00,2015-08-11,107.38,344.08,33
221529,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-08-20T00:00:00,2015-08-21,107.49,336.6,34
221606,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-08-21T00:00:00,2015-08-24,107.49,374.0,35
222108,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-08-27T00:00:00,2015-08-27,121.57,344.08,35
233915,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-08-28T00:00:00,2015-08-28,114.26,374.0,35
234292,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-09-01T00:00:00,2015-09-01,114.92,344.08,36
234442,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-09-02T00:00:00,2015-09-02,114.92,359.04,36
234405,6dcb66034aed7493a93ef9b231ecaf14,5.0,2015-09-02T00:00:00,2015-09-02,114.92,374.0,36
234265,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-09-01T00:00:00,2015-09-02,114.92,374.0,36
234744,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-09-04T00:00:00,2015-09-07,122.05,359.04,37
234823,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-09-07T00:00:00,2015-09-07,122.05,336.6,37
1839,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-09-14T00:00:00,2015-09-14,119.0,374.0,38
1810,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-09-14T00:00:00,2015-09-14,119.0,351.56,38
2418,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-09-17T00:00:00,2015-09-17,120.79,359.04,38
2937,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-09-22T00:00:00,2015-09-22,121.57,329.12,39
3111,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-09-22T00:00:00,2015-09-23,121.57,374.0,39
65766,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-09-25T00:00:00,2015-09-25,121.01,299.2,39
66423,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-10-02T00:00:00,2015-10-02,121.01,374.0,40
66969,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-10-07T00:00:00,2015-10-07,121.01,351.56,41
67020,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-10-07T00:00:00,2015-10-07,121.01,329.12,41
197019,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-10-12T00:00:00,2015-10-12,118.79,336.6,42
197622,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-10-14T00:00:00,2015-10-15,120.82,374.0,42
197832,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-10-16T00:00:00,2015-10-16,120.81,374.0,42
259329,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-10-27T00:00:00,2015-10-27,120.79,344.08,44
13795,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-02T00:00:00,2015-11-02,120.9,374.0,45
14546,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-05T00:00:00,2015-11-05,120.89,374.0,45
14757,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-06T00:00:00,2015-11-06,120.89,299.2,45
14758,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-06T00:00:00,2015-11-06,120.89,299.2,45
15159,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-11-09T00:00:00,2015-11-10,120.89,374.0,46
53911,6dcb66034aed7493a93ef9b231ecaf14,3.0,2015-11-10T00:00:00,2015-11-10,120.89,359.04,46
54463,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-11-12T00:00:00,2015-11-12,120.87,374.0,46
54751,6dcb66034aed7493a93ef9b231ecaf14,6.0,2015-11-16T00:00:00,2015-11-16,120.86,336.6,47
54880,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-16T00:00:00,2015-11-16,120.86,329.12,47
55118,6dcb66034aed7493a93ef9b231ecaf14,4.0,2015-11-17T00:00:00,2015-11-17,120.9,351.56,47
54067,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-11T00:00:00,2015-11-17,120.87,374.0,47
55432,6dcb66034aed7493a93ef9b231ecaf14,2.0,2015-11-18T00:00:00,2015-11-18,120.94,374.0,47
97956,6dcb66034aed7493a93ef9b231ecaf14,1.0,2015-11-23T00:00:00,2015-11-23,120.67,329.12,48
